Date;Filière;Valeur (GW)
27/02/2021;Disponibilité du parc nucléaire;42,45524
28/02/2021;Disponibilité du parc nucléaire;40,65213
01/03/2021;Disponibilité du parc nucléaire;40,36854
02/03/2021;Disponibilité du parc nucléaire;41,26833
03/03/2021;Disponibilité du parc nucléaire;42,67
04/03/2021;Disponibilité du parc nucléaire;43,415
05/03/2021;Disponibilité du parc nucléaire;43,035
06/03/2021;Disponibilité du parc nucléaire;43,75916
07/03/2021;Disponibilité du parc nucléaire;44,29542
08/03/2021;Disponibilité du parc nucléaire;44,12723
09/03/2021;Disponibilité du parc nucléaire;43,96508
10/03/2021;Disponibilité du parc nucléaire;44,26792
11/03/2021;Disponibilité du parc nucléaire;44,9279
12/03/2021;Disponibilité du parc nucléaire;45,11135
13/03/2021;Disponibilité du parc nucléaire;43,84966
14/03/2021;Disponibilité du parc nucléaire;44,79778
15/03/2021;Disponibilité du parc nucléaire;45,58083
16/03/2021;Disponibilité du parc nucléaire;45,53
17/03/2021;Disponibilité du parc nucléaire;45,96896
18/03/2021;Disponibilité du parc nucléaire;46,12021
19/03/2021;Disponibilité du parc nucléaire;46,09529
20/03/2021;Disponibilité du parc nucléaire;44,17261
21/03/2021;Disponibilité du parc nucléaire;44,09563
22/03/2021;Disponibilité du parc nucléaire;44,98218
23/03/2021;Disponibilité du parc nucléaire;45,15562
24/03/2021;Disponibilité du parc nucléaire;45,56812
25/03/2021;Disponibilité du parc nucléaire;45,38706
26/03/2021;Disponibilité du parc nucléaire;45,18
27/03/2021;Disponibilité du parc nucléaire;42,02063
28/03/2021;Disponibilité du parc nucléaire;41,53556
29/03/2021;Disponibilité du parc nucléaire;41,73733
30/03/2021;Disponibilité du parc nucléaire;42,31249
31/03/2021;Disponibilité du parc nucléaire;41,98388
01/04/2021;Disponibilité du parc nucléaire;41,66879
02/04/2021;Disponibilité du parc nucléaire;42,36228
03/04/2021;Disponibilité du parc nucléaire;41,24
04/04/2021;Disponibilité du parc nucléaire;40,0191
05/04/2021;Disponibilité du parc nucléaire;38,53633
06/04/2021;Disponibilité du parc nucléaire;39,46376
07/04/2021;Disponibilité du parc nucléaire;39,81167
08/04/2021;Disponibilité du parc nucléaire;38,05625
09/04/2021;Disponibilité du parc nucléaire;39,30933
10/04/2021;Disponibilité du parc nucléaire;38,18375
11/04/2021;Disponibilité du parc nucléaire;38,33667
12/04/2021;Disponibilité du parc nucléaire;38,72875
13/04/2021;Disponibilité du parc nucléaire;38,67336
14/04/2021;Disponibilité du parc nucléaire;38,74719
15/04/2021;Disponibilité du parc nucléaire;39,675
16/04/2021;Disponibilité du parc nucléaire;39,64938
17/04/2021;Disponibilité du parc nucléaire;37,06688
18/04/2021;Disponibilité du parc nucléaire;37,13353
19/04/2021;Disponibilité du parc nucléaire;37,9505
20/04/2021;Disponibilité du parc nucléaire;38,60583
21/04/2021;Disponibilité du parc nucléaire;38,68792
22/04/2021;Disponibilité du parc nucléaire;38,86062
23/04/2021;Disponibilité du parc nucléaire;38,87583
24/04/2021;Disponibilité du parc nucléaire;38,90394
25/04/2021;Disponibilité du parc nucléaire;39,16163
26/04/2021;Disponibilité du parc nucléaire;39,51271
27/04/2021;Disponibilité du parc nucléaire;39,26688
28/04/2021;Disponibilité du parc nucléaire;39,34354
